"name","image _url","max_price"
"Sky Blue","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29lX2JsdWVfYW5kX2Nocm9tZV9saWdodC5jMWUzYmZjZGEyMDI1ODdlMjIzMmU3NTUzNmI3NmFlNWYyODZjNzA0LnBuZw--/auto/auto/85/notrim/914283fdc1d9102e00d9094cf2328d1e.webp","0.49"
"Candy Apple","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29fcmVkX2xpZ2h0LjVlNWUxOWEwNTdkZmYwNWNjZmQyYzY3NzA4ZDJjY2U5NWIyZTA3MzMucG5n/auto/auto/85/notrim/a0cba3a89c7a16b53e09e1065da60d69.webp","86.83"
"Flame Test","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fZ3NfZml2ZXNldmVuX2hvdF9yb2RfdmlvbGV0X2xpZ2h0LjY1MTllOGI1NDdkYTQ1YWRmMTRjZWJjODQwN2UyOTc2NWFmNzA5NDIucG5n/auto/auto/85/notrim/c358d432994001243b49d74a81ec468e.webp","0.44"
"Triumvirate","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX2F1Z21lbnRlZF9saWdodC43YWQzMmUzNjMwOTMzNGNjZWU3ZTViNDRlMmY4NTg3ZjRjNGFlODAwLnBuZw--/auto/auto/85/notrim/4863edaa8ba942a1d3d802bcc4d81781.webp","10.27"
"Capillary","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZXNldmVuX3ZlaW5fbGlnaHQuOGRkMjViYmY2NjlkYWUzM2MzNTEwMWIzZTZlYmQ4MWI4OWU4M2M1MS5wbmc-/auto/auto/85/notrim/6e9a03eef6ee5f39c2438325881efce3.webp","0.58"
"Anodized Gunmetal","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYW5fZ3VubWV0YWxfYnJhdm9fbGlnaHQuYWFjN2NkZDNlYThiZWYwYTU3ODA2YWI4NDMwMzFlNWZiM2UyYWI3Ny5wbmc-/auto/auto/85/notrim/ebf4faa06795ca2c97a6cbfd4973ea84.webp","14.41"
"Fall Hazard","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfdmVydGlnb19maXZlc2V2ZW5fbGlnaHQuYjg4MWM3MDI0ZTk4ZmQ0YjA5Y2U1YzA5MzAzZmVlOTZjZjE1YmNhNS5wbmc-/auto/auto/85/notrim/19f917b5788d005f9d5eec70682eae63.webp","944.93"
"Coolant","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfZHVjdHNfZ3JlZW5fbGlnaHQuMmQxYzNlYjE3MTE3MmVmNDlhODYwODJmZTZmOTU4OWM2ZWQzZWIxZC5wbmc-/auto/auto/85/notrim/e008bc073e5720c2c9e2a23fee51467d.webp","0.02"
"Nightshade","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfZmxvd2Vyc19saWdodC5iY2I0YjAyNmVlMDE1NmFkYTA5YTg2OWJkZWU2MDdiY2ZiY2IzNDA3LnBuZw--/auto/auto/85/notrim/22f4143a14cbdd9a87b0247aff7ebf09.webp","2.87"
"Scumbria","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYXFfZml2ZV9zZXZlbl9zY3VtYnJpYV9saWdodC5jMDlmY2EwOGJiNGY5OTQ0OWNlNGZjYjEwYmIxNWRjZTEzNTI2MDY1LnBuZw--/auto/auto/85/notrim/e2c8b10624aae75ceaa42bc46c89918a.webp","1.10"
"Orange Peel","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc3BfdGFwZV9vcmFuZ2VfbGlnaHQuZTYwMDIyMWFmM2QyZTAyMTliN2I3ZWUyODFkNmRhODA3YzhjZTc5NS5wbmc-/auto/auto/85/notrim/bc63df43129e63242eb00fecb3779018.webp","0.75"
"Withered Vine","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc3BfbW9yb190ZXh0aWxlX3B1cnBsZV95ZWxsb3dfbGlnaHQuZDJkNzM5MDA5MDE4MGE4ZjljM2IzZWMyZjFlYTQwNzkwN2NiNWM3Mi5wbmc-/auto/auto/85/notrim/48f2829f871b4511a56c678dc1b34b33.webp","3.75"
"Nitro","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29fb3JhbmdlX2FjY2VudHNfbGlnaHQuNzE2ZWY2MzE5OTU5OGFjM2E4ZWQ2ZjFmNTYwM2JkNGZiMmQ3NjYwNS5wbmc-/auto/auto/85/notrim/a1afc1bdf44168b6e7a2cae046cd3a36.webp","67.89"
"Jungle","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29fanVuZ2xlX2xpZ2h0LmI3OWM3NjdhYTM5MWZkOTM4YWNlNjEyMGFmZThlNDk5NjEwMmIwN2MucG5n/auto/auto/85/notrim/e0747d3168fc724fcaaaaf869f453296.webp","40.25"
"Contractor","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29fcG1jX2xpZ2h0LjJjOGRhZTZkNGFiYjZmMDRhODU4ODhiM2VlYmJiNTE0YWJjZGEwNzYucG5n/auto/auto/85/notrim/12908a4448d79712a90b0ca4a52cdc46.webp","13.50"
"Forest Night","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5faHlfZm9yZXN0X25pZ2h0X2xpZ2h0LmYzZjY1OTBhMmRiODgzNWUzOTM4YWYzMWE4OGVhYmFjZGU3Njc1NzAucG5n/auto/auto/85/notrim/4a98a25418f939fad0bc3d57b121f620.webp","0.50"
"Autumn Thicket","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fc29vX2JyYW5jaGVzX2xpZ2h0LmEyMTEwMWQ0NzNiNDcyMzg2ZTZhNjNjODBlNTBlMDYwOGIxMDJjODkucG5n/auto/auto/85/notrim/c1df43dd8386eb904345d841928332cc.webp","0.02"
"Berries And Cherries","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYWFfZmFkZV9yZWRfYmx1ZV9saWdodC5iYjVlODcyNjdhZTUzMzZhYjU1MWZmMjQzYzg1YjI0YTM3ZDlkZmNkLnBuZw--/auto/auto/85/notrim/3aba2e5cc932d6595fd0601aa758507b.webp","123.58"
