"name","max_price","image _url"
"Black Laminate","195.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2N1X2ZsaXBfc3RvbmV3YXNoX2xpZ2h0LjRiMTBhYjI5ZGQ5OWNkNmExY2RkODBjNDJhM2YxOGJmY2MyZGRmNWIucG5n/auto/auto/85/notrim/d4968ba3eb4e29d4c1a778a3d0ee6416.webp"
"Safari Mesh","159.99","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX3NwX21lc2hfdGFuX2xpZ2h0LjBhOGQ3YzhkYmI5YWIxMTJmOGEzZGEwZDJmYWZiY2YzZTVmZmM0YjkucG5n/auto/auto/85/notrim/53688657e159080120ecd9f2aff66e25.webp"
"Gamma Doppler Phase 4","467.41","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2dhbW1hX2RvcHBsZXJfcGhhc2U0X2xpZ2h0LmFhM2VlNGE1ODY5YjUxNjg0NDAyYWI5MzZkZjFmY2NlZDRjZThmYTMucG5n/auto/auto/85/notrim/fb3278f672f5046bb2d47274831f8bbf.webp"
"Gamma Doppler Phase 3","513.86","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2dhbW1hX2RvcHBsZXJfcGhhc2UzX2xpZ2h0LjczNDY4YTJlMDAzOTRlNjMxZjI5Y2YyZjM0ZGUyMDk4Y2E5ZDk1YjAucG5n/auto/auto/85/notrim/78c9e6c866f040e57511f88cf600b3b8.webp"
"Gamma Doppler Phase 2","649.39","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2dhbW1hX2RvcHBsZXJfcGhhc2UyX2xpZ2h0LjE2M2EyN2Q1ODg4MWNlYzRiYzMxZDMzMGZhMTU2YzVkNGE4NTQxNDUucG5n/auto/auto/85/notrim/02c602fe52e7ddcd7e798d8e803b7adf.webp"
"Gamma Doppler Phase 1","511.01","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2dhbW1hX2RvcHBsZXJfcGhhc2UxX2xpZ2h0LjBhOWIwYmZiNjYzNjRmNDBlNWMxNTcyZDJmZTk5ZDhjMDdmZmNlZGYucG5n/auto/auto/85/notrim/a4955c3acab31f427cd2d08a7d96f700.webp"
"Gamma Doppler Emerald","1724.87","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2VtZXJhbGRfbWFyYmxlaXplZF9saWdodC5iNWQwOWIxM2JiZjM3YmY1ZWVmMzZiNWMxNGI1MjIyMGNlMWJmZWYwLnBuZw--/auto/auto/85/notrim/f165c2d15141a334e0ef869d447a5a68.webp"
"Doppler Sapphire","1428.43","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX3NhcHBoaXJlX21hcmJsZWl6ZWRfbGlnaHQuMjJiMGVlMDg1YmI1OWEzOWYyYjAyMmZiMDU1NzU2NmFjOTNhNTFiZC5wbmc-/auto/auto/85/notrim/e8f2f07000cde25161baac93b69f55f6.webp"
"Doppler Ruby","1683.26","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX3J1YnlfbWFyYmxlaXplZF9saWdodC40NDkwODdhYzJiMDIzNzZhNzhjMWI2NTdlNDE4ZmRhZWU0YzFiMDFlLnBuZw--/auto/auto/85/notrim/690810d3f78fa4391b53e71f0565bedd.webp"
"Doppler Phase 4","389.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2RvcHBsZXJfcGhhc2U0X2xpZ2h0LmQ0NGU5ZTQwYzc2NzJjZTk1MDhkMWIyNDQ2OTE4MjcwZGY2Yjg1NTEucG5n/auto/auto/85/notrim/202000b22254c5103f26b83f2a20a0db.webp"
"Doppler Phase 3","369.75","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2RvcHBsZXJfcGhhc2UzX2xpZ2h0LjZhZTEwNmUzMWIyZmYxYjlkZTc5ZDIwNWZhYjJkOWYyZmJlNjIxY2QucG5n/auto/auto/85/notrim/dccc6447658fbb2847663bc1b51110f0.webp"
"Doppler Phase 2","457.69","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2RvcHBsZXJfcGhhc2UyX2xpZ2h0LmY2NGFhYzg5ZDRjMGVlYzNlNTIxODgyYTBiMTgzMTMzYjM0OTQ2MGIucG5n/auto/auto/85/notrim/2153dc721c362fb25a8534fb417c668c.webp"
"Doppler Phase 1","382.23","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2RvcHBsZXJfcGhhc2UxX2xpZ2h0LjJjODI5MmM3ZjQ2Y2M1YTUwMmJhNGE3NzNiYmJlMWRhMGJjZWNlMTUucG5n/auto/auto/85/notrim/79f6168b52ca36b0c574ac724732369e.webp"
"Doppler Black Pearl","2150.00","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FtX2JsYWNrcGVhcmxfbWFyYmxlaXplZF9saWdodC4yYzk0OTdhOWFlZGY5YzVhMjgwY2YwNmY1OGY1ODgzZDU5ZDE3NmFmLnBuZw--/auto/auto/85/notrim/0e463322ccae9977be65eb4676b5a92d.webp"
"Vanilla","253.96","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL3dlYXBvbnMvYmFzZV93ZWFwb25zL3dlYXBvbl9rbmlmZV9mbGlwLmExZWVlZDVhNGExOGM2ODFmNDNkMWI0YWEyZjY1Yjg0YzM3OTBjNWUucG5n/auto/auto/85/notrim/980e2756e2fcd541651994363329c44b.webp"
"Case Hardened","345.58","https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9rbmlmZV9mbGlwX2FxX29pbGVkX2xpZ2h0LmZjMzdhZjdmODgyOTc4NWE0NDcwNmE0ZmZkZjQzNDgxN2NlNzAxYTkucG5n/auto/auto/85/notrim/51a94f6b6bcc8e082fb5cd47457c885b.webp"
